lexeme_id,lemma,pos,cefr_level,review_priority,alignment_decision,import_eligibility,review_status,reviewer,reviewed_at,notes
7509,loft,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7512,loger,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7513,logiciel,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7705,main-d'oeuvre,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7724,major,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7848,marche,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7852,marché,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
7966,maximum,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8008,mentor,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8026,mesdemoiselles,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8118,mineur,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8120,miniature,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8168,mobile,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8216,moment,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8251,monseigneur,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8346,mousson,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8441,mètre,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8465,médias,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8490,méfier,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8525,mésaventure,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8548,météorite,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8549,météorologie,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8677,nombre,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8723,note,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8765,nuit,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8974,orange,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
8999,organe,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9070,ouvrage,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9174,parade,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9197,parasol,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9353,patron,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9362,pauvre,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9365,pauvreté,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9393,peloton,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9505,petits-enfants,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9547,photographier,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9645,piétiner,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9685,planète,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9838,pompier,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9956,pourpre,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
9986,prairie,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10075,proche,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
10096,produit,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
